Tracking (Project),Date,Source,Contact,Description,Reference,Account Code,Account Name,Tracking (Trade),Debit (NZD),Credit (NZD),GST (NZD)
Riverside Office Fitout,2026-07-09,Bill,Meridian Site Services,Site Establishment — progress,INV-9001,310,Site Establishment,Preliminaries,29300.00,0.00,4395.00
Riverside Office Fitout,2026-08-14,Bill,Hirepool NZ,Site Establishment — progress,INV-9002,310,Site Establishment,Preliminaries,29300.00,0.00,4395.00
Riverside Office Fitout,2026-09-11,Bill,Meridian Site Services,Site Establishment — progress,INV-9003,310,Site Establishment,Preliminaries,29400.00,0.00,4410.00
Riverside Office Fitout,2026-08-29,Bill,Citywide Demolition,Demolition — progress,INV-9004,312,Demolition,Demolition,16600.00,0.00,2490.00
Riverside Office Fitout,2026-06-12,Bill,Citywide Demolition,Demolition — progress,INV-9005,312,Demolition,Demolition,16600.00,0.00,2490.00
Riverside Office Fitout,2026-06-12,Bill,Pacific Concrete Ltd,Concrete — progress,INV-9006,320,Concrete,Concrete,5800.00,0.00,870.00
Riverside Office Fitout,2026-07-31,Bill,Allied Concrete,Concrete — progress,INV-9007,320,Concrete,Concrete,5800.00,0.00,870.00
Riverside Office Fitout,2026-08-29,Bill,Pacific Concrete Ltd,Concrete — progress,INV-9008,320,Concrete,Concrete,5800.00,0.00,870.00
Riverside Office Fitout,2026-08-14,Bill,Reomax Steel,Concrete — progress,INV-9009,320,Concrete,Concrete,2600.00,0.00,390.00
Riverside Office Fitout,2026-09-11,Bill,Reomax Steel,Concrete — progress,INV-9010,320,Concrete,Concrete,2600.00,0.00,390.00
Riverside Office Fitout,2026-09-11,Bill,Blocklayers NZ,Masonry — progress,INV-9011,325,Masonry,Masonry,8000.00,0.00,1200.00
Riverside Office Fitout,2026-07-09,Bill,Blocklayers NZ,Masonry — progress,INV-9012,325,Masonry,Masonry,7900.00,0.00,1185.00
Riverside Office Fitout,2026-07-09,Bill,Northern Steel Supplies,Structural Steel — progress,INV-9013,330,Structural Steel,Structural steel,20800.00,0.00,3120.00
Riverside Office Fitout,2026-08-14,Bill,Northern Steel Supplies,Structural Steel — progress,INV-9014,330,Structural Steel,Structural steel,20700.00,0.00,3105.00
Riverside Office Fitout,2026-08-14,Bill,TimberYard Co,Carpentry — progress,INV-9015,340,Carpentry,Carpentry,16300.00,0.00,2445.00
Riverside Office Fitout,2026-09-11,Bill,Woodgrain Joinery,Carpentry — progress,INV-9016,340,Carpentry,Carpentry,16300.00,0.00,2445.00
Riverside Office Fitout,2026-07-09,Bill,TimberYard Co,Carpentry — progress,INV-9017,340,Carpentry,Carpentry,16400.00,0.00,2460.00
Riverside Office Fitout,2026-06-12,Bill,Thermatech Insulation,Insulation — progress,INV-9018,345,Insulation,,6300.00,0.00,945.00
Riverside Office Fitout,2026-07-31,Bill,Thermatech Insulation,Insulation — progress,INV-9019,345,Insulation,,6300.00,0.00,945.00
Riverside Office Fitout,2026-07-31,Bill,ClearView Glazing,Glazing — progress,INV-9020,350,Glazing,Glazing,19100.00,0.00,2865.00
Riverside Office Fitout,2026-08-29,Bill,ClearView Glazing,Glazing — progress,INV-9021,350,Glazing,Glazing,19100.00,0.00,2865.00
Riverside Office Fitout,2026-08-29,Bill,EcoPaint Co,Finishes — progress,INV-9022,355,Finishes,Painting,10500.00,0.00,1575.00
Riverside Office Fitout,2026-06-12,Bill,GIB Linings Ltd,Finishes — progress,INV-9023,355,Finishes,Painting,10500.00,0.00,1575.00
Riverside Office Fitout,2026-07-31,Bill,EcoPaint Co,Finishes — progress,INV-9024,355,Finishes,Painting,10500.00,0.00,1575.00
Riverside Office Fitout,2026-07-09,Bill,Interior Systems NZ,Finishes — progress,INV-9025,356,Finishes,Partitions,15500.00,0.00,2325.00
Riverside Office Fitout,2026-08-14,Bill,Interior Systems NZ,Finishes — progress,INV-9026,356,Finishes,Partitions,15500.00,0.00,2325.00
Riverside Office Fitout,2026-08-14,Bill,Ashfield Flooring,Finishes — progress,INV-9027,358,Finishes,Flooring,4900.00,0.00,735.00
Riverside Office Fitout,2026-09-11,Bill,Ashfield Flooring,Finishes — progress,INV-9028,358,Finishes,Flooring,4900.00,0.00,735.00
Riverside Office Fitout,2026-09-11,Bill,AirStream Mechanical,Mechanical — progress,INV-9029,370,Mechanical,Mechanical,26400.00,0.00,3960.00
Riverside Office Fitout,2026-07-09,Bill,Climate Supply Co,Mechanical — progress,INV-9030,370,Mechanical,Mechanical,26400.00,0.00,3960.00
Riverside Office Fitout,2026-08-14,Bill,AirStream Mechanical,Mechanical — progress,INV-9031,370,Mechanical,Mechanical,26500.00,0.00,3975.00
Riverside Office Fitout,2026-07-31,Bill,PlumbRight Ltd,Plumbing — progress,INV-9032,372,Plumbing,Plumbing,13800.00,0.00,2070.00
Riverside Office Fitout,2026-08-29,Bill,PlumbRight Ltd,Plumbing — progress,INV-9033,372,Plumbing,Plumbing,13800.00,0.00,2070.00
Riverside Office Fitout,2026-08-29,Bill,Voltix Electrical,Electrical — progress,INV-9034,380,Electrical,Electrical,24100.00,0.00,3615.00
Riverside Office Fitout,2026-06-12,Bill,Lumina Lighting,Electrical — progress,INV-9035,380,Electrical,Electrical,24100.00,0.00,3615.00
Riverside Office Fitout,2026-07-31,Bill,Voltix Electrical,Electrical — progress,INV-9036,380,Electrical,Electrical,24100.00,0.00,3615.00
Riverside Office Fitout,2026-07-09,Bill,Meridian Fitout Supply,Fitout — progress,INV-9037,390,Fitout,,22500.00,0.00,3375.00
Riverside Office Fitout,2026-08-14,Bill,Meridian Fitout Supply,Fitout — progress,INV-9038,390,Fitout,,22500.00,0.00,3375.00
Riverside Office Fitout,2026-08-14,Bill,Netlink Cabling,Data & Security — progress,INV-9039,382,Data & Security,Data,2100.00,0.00,315.00
Riverside Office Fitout,2026-09-11,Bill,Netlink Cabling,Data & Security — progress,INV-9040,382,Data & Security,Data,2100.00,0.00,315.00
Riverside Office Fitout,2026-09-11,Bill,Groundline Civil,External Works — progress,INV-9041,395,External Works,,4200.00,0.00,630.00
Riverside Office Fitout,2026-07-09,Bill,Groundline Civil,External Works — progress,INV-9042,395,External Works,,4100.00,0.00,615.00
